UIAutomation 2.0.20 (Python 3.12.5, 64 bit)
2024-09-24 09:32:44.569 automation.py[79] main -> Starts, Current Cursor Position: (35, -555)
                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1262,754,1287,779)[25x25]    Name: 手机    Handle: 0x0(0)    Depth: 6    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1262,794,1288,818)[26x24]    Name:     Handle: 0x0(0)    Depth: 5    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1262,794,1287,819)[25x25]    Name: 设置及其他    Handle: 0x0(0)    Depth: 6    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
                ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,117,1528,834)[226x717]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,117,1527,179)[225x62]    Name:     Handle: 0x0(0)    Depth: 5    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                        ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1314,142,1480,167)[166x25]    Name:     Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (1314,142,1480,167)[166x25]    Name:     Handle: 0x0(0)    Depth: 7    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1314,142,1480,167)[166x25]    Name:     Handle: 0x0(0)    Depth: 7    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                ControlType: EditControl    ClassName:     AutomationId:     Rect: (1334,142,1480,165)[146x23]    Name: 搜索    Handle: 0x0(0)    Depth: 8    TextPattern.Text: ''    ValuePattern.Value: ''    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern TextEditPattern TextPattern TextPattern2 ValuePattern
                                ControlType: TextControl    ClassName:     AutomationId:     Rect: (1318,148,1334,164)[16x16]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                        ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1490,142,1515,167)[25x25]    Name:     Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1490,142,1515,167)[25x25]    Name: 发起群聊    Handle: 0x0(0)    Depth: 7    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,179,1527,834)[225x655]    Name:     Handle: 0x0(0)    Depth: 5    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                        ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,179,1527,834)[225x655]    Name:     Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,179,1527,834)[225x655]    Name:     Handle: 0x0(0)    Depth: 7    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,179,1527,834)[225x655]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                    ControlType: ListControl    ClassName:     AutomationId:     Rect: (1302,179,1527,834)[225x655]    Name: 会话    Handle: 0x0(0)    Depth: 9    ScrollPattern.HorizontalScrollPercent: 0.0    ScrollPattern.VerticalScrollPercent: 0.0    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern ScrollPattern SelectionPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1302,179,1527,243)[225x64]    Name: 我的乖狗狗已置顶    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: True    ValuePattern.Value: '好,置顶'    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern SelectionItemPattern ValuePattern
                                            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,179,1527,243)[225x64]    Name:     Handle: 0x0(0)    Depth: 11    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1314,191,1354,231)[40x40]    Name: 我的乖狗狗    Handle: 0x0(0)    Depth: 12    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,191,1515,233)[151x42]    Name:     Handle: 0x0(0)    Depth: 12    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,191,1515,215)[151x24]    Name:     Handle: 0x0(0)    Depth: 13    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1364,191,1488,215)[124x24]    Name: 我的乖狗狗    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: PaneControl    ClassName:     AutomationId:     Rect: (0,0,0,0)[0x0]    Name:     Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1488,191,1515,215)[27x24]    Name: 9:14    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,215,1515,233)[151x18]    Name:     Handle: 0x0(0)    Depth: 13    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
